"candidate_id","method","DGP","replication","case_role","diagnostic_role","chain","estimand_x","estimand_y","correlation"
"whole_scan_x2","M10","S05",129,"guard","four_chain_sentinel",1,"log_q_1","mean_width",-0.448617318522931
"whole_scan_x2","M10","S05",129,"guard","four_chain_sentinel",1,"log_q_1","mean_midpoint",-0.428950358309892
"whole_scan_x2","M10","S05",129,"guard","four_chain_sentinel",1,"log_q_1","mean_upper",-0.475222995313403
"whole_scan_x2","M10","S05",129,"guard","four_chain_sentinel",1,"log_q_1","observed_loss",-0.535510406221054
"whole_scan_x2","M10","S05",129,"guard","four_chain_sentinel",2,"log_q_1","mean_width",-0.472796935201845
"whole_scan_x2","M10","S05",129,"guard","four_chain_sentinel",2,"log_q_1","mean_midpoint",-0.431396570600614
"whole_scan_x2","M10","S05",129,"guard","four_chain_sentinel",2,"log_q_1","mean_upper",-0.487877636504958
"whole_scan_x2","M10","S05",129,"guard","four_chain_sentinel",2,"log_q_1","observed_loss",-0.527202106562647
"whole_scan_x2","M10","S05",129,"guard","four_chain_sentinel",3,"log_q_1","mean_width",-0.46135949534746
"whole_scan_x2","M10","S05",129,"guard","four_chain_sentinel",3,"log_q_1","mean_midpoint",-0.418186811492138
"whole_scan_x2","M10","S05",129,"guard","four_chain_sentinel",3,"log_q_1","mean_upper",-0.474230666299327
"whole_scan_x2","M10","S05",129,"guard","four_chain_sentinel",3,"log_q_1","observed_loss",-0.533790925768022
"whole_scan_x2","M10","S05",129,"guard","four_chain_sentinel",4,"log_q_1","mean_width",-0.463352915042136
"whole_scan_x2","M10","S05",129,"guard","four_chain_sentinel",4,"log_q_1","mean_midpoint",-0.417232360872376
"whole_scan_x2","M10","S05",129,"guard","four_chain_sentinel",4,"log_q_1","mean_upper",-0.474205003363831
"whole_scan_x2","M10","S05",129,"guard","four_chain_sentinel",4,"log_q_1","observed_loss",-0.538947877866109
"whole_scan_x2","M10","S05",104,"hard","one_chain_standard",1,"log_q_1","mean_width",-0.528548511683046
"whole_scan_x2","M10","S05",104,"hard","one_chain_standard",1,"log_q_1","mean_midpoint",-0.46587492592189
"whole_scan_x2","M10","S05",104,"hard","one_chain_standard",1,"log_q_1","mean_upper",-0.543720968475138
"whole_scan_x2","M10","S05",104,"hard","one_chain_standard",1,"log_q_1","observed_loss",-0.447171271294033
"whole_scan_x4","M10","S05",129,"guard","four_chain_sentinel",1,"log_q_1","mean_width",-0.453594633175071
"whole_scan_x4","M10","S05",129,"guard","four_chain_sentinel",1,"log_q_1","mean_midpoint",-0.419081616504413
"whole_scan_x4","M10","S05",129,"guard","four_chain_sentinel",1,"log_q_1","mean_upper",-0.472242428318616
"whole_scan_x4","M10","S05",129,"guard","four_chain_sentinel",1,"log_q_1","observed_loss",-0.54482670251092
