"response_id","response_role","method_id","method","grouping","splits","median_minimum_group_content","median_maximum_group_content","median_group_content_range","q975_group_content_range"
"fct_tensile","primary","mti_ecm_adaptive_cell","MTI-ECM","api_batch",1000,0.666666666666667,1,0.333333333333333,1
"tbl_rsd_weight","supplement","mti_ecm_adaptive_cell","MTI-ECM","api_batch",1000,0.666666666666667,1,0.333333333333333,1
"fct_tensile","primary","tcsp_mc","TCSP","api_batch",1000,0.666666666666667,1,0.333333333333333,1
"tbl_rsd_weight","supplement","tcsp_mc","TCSP","api_batch",1000,0.666666666666667,1,0.333333333333333,1
"fct_tensile","primary","wilks_minmax","Wilks","api_batch",1000,0.75,1,0.25,0.666666666666667
"tbl_rsd_weight","supplement","wilks_minmax","Wilks","api_batch",1000,0.75,1,0.25,0.333333333333333
"fct_tensile","primary","young_mathew","Young--Mathew","api_batch",1000,0.666666666666667,1,0.333333333333333,1
"tbl_rsd_weight","supplement","young_mathew","Young--Mathew","api_batch",1000,0.666666666666667,1,0.333333333333333,1
"fct_tensile","primary","mti_ecm_adaptive_cell","MTI-ECM","batch_order_quartile",1000,0.91304347826087,1,0.08,0.210526315789474
"tbl_rsd_weight","supplement","mti_ecm_adaptive_cell","MTI-ECM","batch_order_quartile",1000,0.91304347826087,1,0.0869565217391305,0.271532634032634
"fct_tensile","primary","tcsp_mc","TCSP","batch_order_quartile",1000,0.91304347826087,1,0.08,0.210526315789474
"tbl_rsd_weight","supplement","tcsp_mc","TCSP","batch_order_quartile",1000,0.91304347826087,1,0.0869565217391305,0.271532634032634
"fct_tensile","primary","wilks_minmax","Wilks","batch_order_quartile",1000,0.954545454545455,1,0.0453722002635046,0.157894736842105
"tbl_rsd_weight","supplement","wilks_minmax","Wilks","batch_order_quartile",1000,0.952380952380952,1,0.0476190476190477,0.155197368421052
"fct_tensile","primary","young_mathew","Young--Mathew","batch_order_quartile",1000,0.904761904761905,1,0.0869565217391305,0.26546783625731
"tbl_rsd_weight","supplement","young_mathew","Young--Mathew","batch_order_quartile",1000,0.888888888888889,1,0.104395604395604,0.272727272727273
"fct_tensile","primary","mti_ecm_adaptive_cell","MTI-ECM","start",1000,0.666666666666667,1,0.333333333333333,0.75
"tbl_rsd_weight","supplement","mti_ecm_adaptive_cell","MTI-ECM","start",1000,0.75,1,0.25,0.5
"fct_tensile","primary","tcsp_mc","TCSP","start",1000,0.666666666666667,1,0.333333333333333,0.75
"tbl_rsd_weight","supplement","tcsp_mc","TCSP","start",1000,0.75,1,0.25,0.5
"fct_tensile","primary","wilks_minmax","Wilks","start",1000,0.75,1,0.25,0.666666666666667
"tbl_rsd_weight","supplement","wilks_minmax","Wilks","start",1000,0.857142857142857,1,0.142857142857143,0.333333333333333
"fct_tensile","primary","young_mathew","Young--Mathew","start",1000,0.666666666666667,1,0.333333333333333,0.8
"tbl_rsd_weight","supplement","young_mathew","Young--Mathew","start",1000,0.666666666666667,1,0.333333333333333,0.666666666666667
