"scope","artifact_role","path","initial_allocated_bytes","initial_file_count","reconciled_allocated_bytes","reconciled_file_count","concurrent_change_detected","removed_file_count","removed_logical_bytes","final_allocated_bytes","final_file_count","tracked_file_count","promotion_status","disposition","recoverability"
"primary_checkout","superseded_output_bundle","/data/muscat_data/jaguir26/RQR-GIBBS/application/outputs/output16_preflight_source_20260725",90648576,21,90648576,21,FALSE,1,87631830,3014656,20,0,"terminal_or_superseded_not_promotable","heavy_artifacts_removed_compact_files_retained","regenerate_from_committed_source_and_frozen_contract"
"primary_checkout","superseded_output_bundle","/data/muscat_data/jaguir26/RQR-GIBBS/application/outputs/rqr_dlm_bounded_benchmark_one_cell_20260723T233002Z_f854494b9e37",49152,12,49152,12,FALSE,0,0,49152,12,0,"terminal_or_superseded_not_promotable","heavy_artifacts_removed_compact_files_retained","regenerate_from_committed_source_and_frozen_contract"
"primary_checkout","superseded_output_bundle","/data/muscat_data/jaguir26/RQR-GIBBS/application/outputs/rqr_dlm_bounded_benchmark_one_cell_20260723T233818Z_bf8785f41d91",65536,14,65536,14,FALSE,0,0,65536,14,0,"terminal_or_superseded_not_promotable","heavy_artifacts_removed_compact_files_retained","regenerate_from_committed_source_and_frozen_contract"
"primary_checkout","superseded_output_bundle","/data/muscat_data/jaguir26/RQR-GIBBS/application/outputs/rqr_dlm_bounded_benchmark_one_cell_20260723T234843Z_2e7840388d56",35078144,29,35078144,29,FALSE,4,30299256,4771840,25,0,"terminal_or_superseded_not_promotable","heavy_artifacts_removed_compact_files_retained","regenerate_from_committed_source_and_frozen_contract"
"primary_checkout","superseded_output_bundle","/data/muscat_data/jaguir26/RQR-GIBBS/application/outputs/rqr_dlm_bounded_benchmark_one_cell_20260724T013515Z_e24feb411b2e",52371456,30,52371456,30,FALSE,4,45304976,7057408,26,0,"terminal_or_superseded_not_promotable","heavy_artifacts_removed_compact_files_retained","regenerate_from_committed_source_and_frozen_contract"
"primary_checkout","superseded_output_bundle","/data/muscat_data/jaguir26/RQR-GIBBS/application/outputs/rqr_dlm_bounded_execute_bounded_20260723T205313Z_ec0ed5f57772",24576,6,24576,6,FALSE,0,0,24576,6,0,"terminal_or_superseded_not_promotable","heavy_artifacts_removed_compact_files_retained","regenerate_from_committed_source_and_frozen_contract"
"primary_checkout","superseded_output_bundle","/data/muscat_data/jaguir26/RQR-GIBBS/application/outputs/rqr_dlm_bounded_execute_bounded_20260723T235810Z_2e7840388d56",49152,12,49152,12,FALSE,0,0,49152,12,0,"terminal_or_superseded_not_promotable","heavy_artifacts_removed_compact_files_retained","regenerate_from_committed_source_and_frozen_contract"
"primary_checkout","superseded_output_bundle","/data/muscat_data/jaguir26/RQR-GIBBS/application/outputs/rqr_dlm_bounded_execute_bounded_20260724T013439Z_e24feb411b2e",49152,12,49152,12,FALSE,0,0,49152,12,0,"terminal_or_superseded_not_promotable","heavy_artifacts_removed_compact_files_retained","regenerate_from_committed_source_and_frozen_contract"
"primary_checkout","superseded_output_bundle","/data/muscat_data/jaguir26/RQR-GIBBS/application/outputs/rqr_dlm_bounded_preflight_20260723T205148Z_ec0ed5f57772",24576,6,24576,6,FALSE,0,0,24576,6,0,"terminal_or_superseded_not_promotable","heavy_artifacts_removed_compact_files_retained","regenerate_from_committed_source_and_frozen_contract"
"primary_checkout","superseded_output_bundle","/data/muscat_data/jaguir26/RQR-GIBBS/application/outputs/rqr_dlm_bounded_preflight_20260723T231239Z_33d7c3eaedf2",36864,9,36864,9,FALSE,0,0,36864,9,0,"terminal_or_superseded_not_promotable","heavy_artifacts_removed_compact_files_retained","regenerate_from_committed_source_and_frozen_contract"
"primary_checkout","superseded_output_bundle","/data/muscat_data/jaguir26/RQR-GIBBS/application/outputs/rqr_dlm_bounded_preflight_20260723T231350Z_1e2f291b50cf",49152,12,49152,12,FALSE,0,0,49152,12,0,"terminal_or_superseded_not_promotable","heavy_artifacts_removed_compact_files_retained","regenerate_from_committed_source_and_frozen_contract"
