"path","validated_object","closeout_object","identical","classification"
"application/R","03cbb823d7c428cc6051492d398cc7ad3bf45209","03cbb823d7c428cc6051492d398cc7ad3bf45209",TRUE,"package R implementation"
"application/src","917e10f0ea60d6886f92a2103862fd87a2f45328","917e10f0ea60d6886f92a2103862fd87a2f45328",TRUE,"package C++ implementation"
"application/DESCRIPTION","a3c9f9325398ecaa22992c226a104771ab0fc58a","a3c9f9325398ecaa22992c226a104771ab0fc58a",TRUE,"package metadata and dependencies"
"application/NAMESPACE","7b9980e2028a5588a27aa58dec770cebc0beb103","7b9980e2028a5588a27aa58dec770cebc0beb103",TRUE,"export and native registration contract"
"application/config/rqr_dlm","f686ad86f9d2937df12e2fdc0344b9891fa149ff","f686ad86f9d2937df12e2fdc0344b9891fa149ff",TRUE,"frozen DLM configuration tree"
"application/scripts/lib/rqr_dlm_confirmatory_simulation.R","46a35c758a2c03013fc9499976dd6a5aad551cda","46a35c758a2c03013fc9499976dd6a5aad551cda",TRUE,"confirmatory construction and runner library"
"application/scripts/22_validate_rqr_dlm_wave1_corrections.R","7cfa317eea9572730eaa084aaa41714c4f39700b","7cfa317eea9572730eaa084aaa41714c4f39700b",TRUE,"wave-1 promotion validator"
"application/scripts/23_validate_rqr_dlm_wave1_comparator_projection.R","e21106dce27cbc8f46f0e22d71e1f050097a4ea1","e21106dce27cbc8f46f0e22d71e1f050097a4ea1",TRUE,"wave-2 promotion validator"
"application/scripts/24_validate_rqr_dlm_horizon_and_fixed_design.R","d83b98a7caec3f3dc2e615757e501429f74a5542","d83b98a7caec3f3dc2e615757e501429f74a5542",TRUE,"horizon and fixed-design validator"
"application/scripts/25_validate_rqr_dlm_resource_envelope.R","75c088a73916fa2a21a9acf2109bf972d8f7ae61","75c088a73916fa2a21a9acf2109bf972d8f7ae61",TRUE,"resource validator"
