"field","validated_value","closeout_value","disposition"
"source_commit","38c008030d888593701c3769dbad3cdf53bd84b5","a9eaadcbf3ac5bc584c2124e04aad90438158fe8","exact commits recorded"
"source_tree_digest","6757826bda4fde15aa90d46f9bff63a1aff913c2","5575cbe6dee1d574e3fcfe88a964cda802fc94fa","expected difference from non-DLM source and check infrastructure"
"primary_attestation_sha256","1c3e19ab06e0aba53cc18a793f48aed69ba228c240aa53f81dce58fe395c143f","7e97d526cd253077c6b4bfc80be6cfa353b931e45edef2c20f7f4face80bd573","both independently hashed"
"source_package_sha256","91183b3662dd3e46ba5a7d5bbc32d4457c9e8d383df135fe734386f80c5cffda","f2706dfcb720a5acfc3bc63134f918b8bd5dc2fbaa735c940c29e1d214ca673e","commit-bound source packages"
"runtime_pre_marker_tree_digest","4999696ca697f786f3d1bba21dac11e4b76d5d1c4024eb4638ad53368f393aae","de6eb6cc48dacb4264d8707b62d23e099e3b61d447c114a6d7cb31201737fedf","not treated as bitwise-build equivalence"
"runtime_package_tree_digest","6b66e2e41617a496e141c4d46230bb4c462a69a13469393eca2a350c02081c6e","c3afe4e376cd2c5c06a8b66a0b0d6a3ca4e13eaff20f32d0302b0d3c67936387","each runtime verified against its own attestation"
"closeout_runtime_digest_after_checks",NA,"c3afe4e376cd2c5c06a8b66a0b0d6a3ca4e13eaff20f32d0302b0d3c67936387","unchanged across hermetic matrix"
"package_version","0.1.0.9028","0.1.0.9028","identical"
"R_version","R version 4.5.3 (2026-03-11)","R version 4.5.3 (2026-03-11)","identical"
"platform","x86_64-redhat-linux-gnu","x86_64-redhat-linux-gnu","identical"
