file,paragraph_id,section,governing_question,one_sentence_answer,evidence_or_mechanism,scope_condition,transition_to_next_paragraph,recommended_action
main.tex,main.tex:P0001,preamble,What role does this paragraph play in preamble?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0002,preamble,What role does this paragraph play in preamble?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,"Next paragraph begins: section colorlinks=true, linkcolor=black, citecolor=black, urlcolor=black, pdftitle= Mean-Tilted Intervals: A Generalized-Bayes Approach to Fixed-Content and Tolerance Intervals",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0003,preamble,How is the tolerance or scan action distinguished from target uncertainty?,"section colorlinks=true, linkcolor=black, citecolor=black, urlcolor=black, pdftitle= Mean-Tilted Intervals:",interpretive transition or scope statement,Scope is conditional; paragraph includes cues: fixed.,"Next paragraph begins: [1] [1] 4.5pt 1.12 arg ,min Proposition [proposition] Theorem [proposition] Corollary [1] [leftmargin=2.2em,itemsep=0.3em,parsep=0pt]",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0004,preamble,What formal result or assumption is being established?,"[1] [1] 4.5pt 1.12 arg ,min Proposition [proposition] Theorem [proposition] Corollary [1] [leftmargin=2.2em,itemsep=0.3em,parsep=0pt]",formal statement or proof,No special scope condition beyond surrounding section.,"Next paragraph begins: Mean-Tilted Intervals: A Generalized-Bayes Approach to Fixed-Content and Tolerance Intervals Antonio De Leon ^ 1 Raquel Prado ^ 1 Bruno Sans 'o ^ 1 ^ 1 Department of ",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0005,preamble,How is the tolerance or scan action distinguished from target uncertainty?,Mean-Tilted Intervals:,interpretive transition or scope statement,Scope is conditional; paragraph includes cues: fixed.,Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0006,preamble,What posterior object or computation is being defined?,We develop loss-based generalized-Bayes computation for fixed MPI and MTI targets.,algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: fixed, regular.","Next paragraph begins: For tolerance inference, the repeated-sampling action is kept separate from generalized-posterior endpoint summaries. A scan-calibrated empirical action selects",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0007,preamble,How is the tolerance or scan action distinguished from target uncertainty?,"For tolerance inference, the repeated-sampling action is kept separate from generalized-posterior endpoint summaries.",interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: fixed, not.",Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0008,Introduction,What role does this paragraph play in Introduction?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,"Next paragraph begins: An interval with prescribed probability content is a class, not a unique object. Equal-tailed, shortest-contiguous, and other intervals can contain the same pop",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0009,Introduction,How is the tolerance or scan action distinguished from target uncertainty?,"An interval with prescribed probability content is a class, not a unique object.",interpretive transition or scope statement,Scope is conditional; paragraph includes cues: not.,"Next paragraph begins: Pouplin et al. introduced a residual-product criterion under the name Relaxed Quantile Regression . The loss is built from ((y- _1)(y- _2) ), whose sign records",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0010,Introduction,How is the MPI target identified or scoped?,Pouplin et al.,definition or mathematical construction,"Scope is conditional; paragraph includes cues: not, regular, under.",Next paragraph begins: The same score structure gives a placement coordinate. Replacing the mean-preserving equation by a fixed retained-mean offset ( ) defines the mean-tilted interv,retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0011,Introduction,What evidence or reproducibility role does this paragraph serve?,The same score structure gives a placement coordinate.,"generated artifact, validation fixture, or diagnostic summary",Scope is conditional; paragraph includes cues: fixed.,Next paragraph begins: The computational construction follows generalized Bayes. A prior is updated by ( - _ R _i _i ) to define a generalized posterior . A pseudo-asymmetric-Laplace ,retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0012,Introduction,What posterior object or computation is being defined?,The computational construction follows generalized Bayes.,algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: fixed, not, only.","Next paragraph begins: For fixed targets, the augmentation also yields deterministic mode computation. The ECM algorithm uses exact inverse latent-scale moments in the E-step and two ",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0013,Introduction,What fixed-target mode computation is being described?,"For fixed targets, the augmentation also yields deterministic mode computation.",algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: fixed, not.","Next paragraph begins: The dynamic extension replaces each root coefficient vector by a linear Gaussian state trajectory. The two trajectories have a jointly Gaussian stacked prior, b",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0014,Introduction,What posterior object or computation is being defined?,The dynamic extension replaces each root coefficient vector by a linear Gaussian state trajectory.,algorithmic derivation or computational identity,Scope is conditional; paragraph includes cues: fixed.,Next paragraph begins: Tolerance and full-distribution Bayesian interval summaries are downstream of this fixed-target construction. The scan-calibrated empirical procedure first choo,retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0015,Introduction,How is the tolerance or scan action distinguished from target uncertainty?,Tolerance and full-distribution Bayesian interval summaries are downstream of this fixed-target construction.,interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: fixed, not, only.","Next paragraph begins: [h!] The table fixes the meaning of target, posterior, action, calibration, and evidence used throughout the article. @ > p 0.18 > p 0.22 > p 0.20 > p 0.18 > X@",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0016,Introduction,How is the tolerance or scan action distinguished from target uncertainty?,The contributions are fourfold.,formal statement or proof,"Scope is conditional; paragraph includes cues: fixed, open, regular, under.","Next paragraph begins: The scope is intentionally bounded. Available nonzero-tilt computation uses proper Gaussian priors, a fixed learning rate, and fixed or frozen dynamic evolution",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0017,Introduction,How is the tolerance or scan action distinguished from target uncertainty?,The scope is intentionally bounded.,"generated artifact, validation fixture, or diagnostic summary","Scope is conditional; paragraph includes cues: fixed, not, when.",Next paragraph begins: The paper proceeds as follows. Section~ defines the fixed-content interval class. Sections~ and~ identify the MPI target and the MTI placement family. Section~ ,retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0018,Introduction,How is the tolerance or scan action distinguished from target uncertainty?,The paper proceeds as follows.,formal statement or proof,"Scope is conditional; paragraph includes cues: fixed, iid, regular.",Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0019,Fixed-Content Interval Functionals,What role does this paragraph play in Fixed-Content Interval Functionals?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,"Next paragraph begins: Let (Y ) have a nondegenerate continuous distribution with finite mean ( ) and strictly increasing quantile function (Q ) on ((0,1) ). Apart from probability-ze",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0020,Fixed-Content Interval Functionals,What evidence or reproducibility role does this paragraph serve?,"Let (Y ) have a nondegenerate continuous distribution with finite mean ( ) and strictly increasing quantile function (Q ) on ((0,1) ).","generated artifact, validation fixture, or diagnostic summary","Scope is conditional; paragraph includes cues: not, regular, under.","Next paragraph begins: [H] All panels use the same continuous left-skewed population illustration with content (c=0.80 ), displayed after standardization. Equal-tailed (ET) intervals ",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0021,Mean-Preserving Interval Loss and Population Target,What role does this paragraph play in Mean-Preserving Interval Loss and Population Target?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,"Next paragraph begins: The residual-product loss is useful only after its target is identified. This section first defines the pointwise loss, then shows that its regular unrestricted",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0022,Mean-Preserving Interval Loss and Population Target,How is the MPI target identified or scoped?,The residual-product loss is useful only after its target is identified.,definition or mathematical construction,"Scope is conditional; paragraph includes cues: fixed, only, regular.","Next paragraph begins: Fix a desired interval content (c (0,1) ) and ordered endpoints (a<b ). The pointwise MPI loss is _c^ (a,b;y)= (1-c)(y-a)(b-y), & a<y<b, c(y-a)(y-b), & y a y b.",retain after 2026-08-13 architecture/prose pass
