finding_id,source_deliverable,source_location,severity,pro_recommendation,codex_disposition,codex_reason,implementation_location,validation_check,results_dependency
ED01,architecture_decision.md,"recommended architecture",critical,"Use theory-first architecture B+ with RQR-DLM as the principal structured extension",accept_with_modification,"The hierarchy matches the current strongest contribution; final DLM prominence remains conditional on its empirical evidence","main.tex Sections 1--7","section-order and rendered-flow review",yes
ED02,frontmatter_rewrite_packet.md,"title",important,"Advertise the mean-preserving contribution",accept_with_modification,"A grammatical theory-forward title is more precise than the proposed alternatives","main.tex and supplement title","PDF metadata and title-page inspection",no
ED03,frontmatter_rewrite_packet.md,"abstract",important,"Rewrite around functional result, tilt, computation, and DLM",accept_with_modification,"Removed the software inventory but did not invent future empirical findings","main.tex abstract","claim and scope audit",yes
ED04,section_revision_map.csv,"Introduction",important,"Condense and clarify the contribution hierarchy",accept,"The revision now moves from interval identification to RQR theory, computation, DLM, scope, and roadmap","main.tex Introduction","citation and prose review",no
ED05,section_revision_map.csv,"Fixed-content target table",important,"Use a numbered ragged-right three-column table and defer recovery tilts",accept,"This removes premature notation and forced justification","main.tex Table 1","TeX warning and rendered-table inspection",no
ED06,prioritized_codex_editorial_handoff.md,"development-status material",critical,"Move the status table and validation ledger out of the article",accept,"Repository governance was interrupting the statistical narrative","main.tex; supplement; docs/implementation_notes/rqr_article_implementation_status_20260726.md","float-order and content-preservation review",no
ED07,theorem_assumption_and_proof_map.csv,"profiled-risk theorem",critical,"Replace vague differentiation and envelope conditions",accept_with_modification,"Added explicit sufficient density and moment conditions plus a proved profile-radius/envelope lemma rather than assuming existence and uniqueness","main.tex profiled theorem; supplement profile lemma and theorem","mathematical cross-check and TeX references",no
ED08,theorem_assumption_and_proof_map.csv,"moment assumptions",important,"Separate finite-mean and finite-second-moment roles",accept,"The first moment supports the retained-mean identity; the second makes product risk finite and supports profiling","main.tex ordinary-RQR interpretation; supplement","prose and assumption audit",no
ED09,theorem_assumption_and_proof_map.csv,"quantile-window identification",important,"Promote and support monotonicity",accept_with_modification,"Used a shifted-quantile integral argument that does not require unnecessary differentiability","main.tex theorem; supplement theorem and proof","proof audit",no
ED10,notation_and_terminology_audit.csv,"fixed coverage terminology",important,"Use fixed-content for the estimand and empirical coverage for evaluation",accept_with_modification,"Coverage probability remains valid when explicitly naming a probability equation","both TeX sources","terminology search",no
ED11,theorem_assumption_and_proof_map.csv,"recovery tilts",important,"Label equal-tailed and set-valued shortest recovery as a corollary",accept,"The set-valued shortest target remains explicit","main.tex recovery-tilt corollary","cross-reference build",no
ED12,theorem_assumption_and_proof_map.csv,"boundary cases",important,"Keep concise main qualifications and detailed supplement taxonomy",already_satisfied,"The existing finite/infinite support and escaping-root distinctions were accurate and retained","main.tex and supplement mean-tilt sections","claim audit",no
ED13,theorem_assumption_and_proof_map.csv,"Gaussian-prior propriety",important,"Keep a bounded Gaussian-prior result without overgeneralizing",already_satisfied,"The existing statement was appropriately restricted and was retained","main.tex and supplement","claim audit",no
ED14,main_supplement_allocation.csv,"learned inverse-loss scale",important,"Move most learned-scale detail to the supplement",accept_with_modification,"A concise main target remains necessary because fixed/learned scans are implemented and evaluated","main.tex Section 5; supplement learned-scale section","target and scan consistency review",no
ED15,prioritized_codex_editorial_handoff.md,"fixed-design Gibbs algorithm",important,"Add a numbered fixed/learned-rate scan",accept,"The algorithm preserves the collapsed-scale then latent-refresh order and ordered summaries","main.tex Algorithm 1","TeX build and supplement consistency check",no
ED16,section_revision_map.csv,"dynamic model hierarchy",important,"Give RQR-DLM its own main section and a root-blocked algorithm",accept,"This is the principal structured extension and the exactness distinction is central","main.tex Section 6 and Algorithm 2","algorithm/derivation consistency review",yes
ED17,section_revision_map.csv,"evolution specifications",important,"Condense while preserving fixed W, frozen discount, shared scale, and adaptive working modes",accept_with_modification,"All scientifically distinct modes remain because the current study evaluates them","main.tex Section 6; supplement","mode-language audit",no
ED18,main_supplement_allocation.csv,"RQR-DESN prominence",important,"Move DESN out of the central main narrative",accept_with_modification,"A concise evaluation-scope paragraph and the supplement contract retain the secondary extension without erasing it","main.tex Section 7; supplement DESN contract","scope audit",yes
ED19,notation_and_terminology_audit.csv,"symbol collisions",important,"Use lambda_W, kappa, gamma_j, n, and T distinctly",accept,"The manuscript notation is now disjoint; legacy software field lambda is documented as kappa","both TeX sources","literal-symbol searches and build",no
ED20,notation_and_terminology_audit.csv,"FFBS backward moments",important,"Remove H superscript-B collision",accept_with_modification,"Used standard local starred backward moments without unnecessary global renaming","supplement dynamic section","notation search",no
ED21,main_supplement_allocation.csv,"supplement order",important,"Place fixed-content family before ordinary-RQR consequences",accept,"The supplement now mirrors the main conceptual order","supplement Sections S2--S4","section-order review",no
ED22,notation_and_terminology_audit.csv,"notation aid",optional,"Add notation guidance",accept_with_modification,"A compact supplement table avoids interrupting the main theory","supplement Table S1","rendered-table inspection",no
ED23,section_revision_map.csv,"Discussion",important,"Expand interpretation, computation, limitations, and future work",accept_with_modification,"The revision synthesizes current theory without fabricating simulation conclusions","main.tex Discussion","claim audit and rendered-flow review",yes
ED24,figure_table_and_production_review.md,"main Gibbs schematic",critical,"Use a two-tier natural-size layout and eliminate overlap",accept,"Three compact boxes now sit above a separate scope banner","figures/rqr_gibbs_computational_schematic.tex; main caption","rendered Figure 3 inspection",no
ED25,figure_table_and_production_review.md,"Figure 1",important,"Remove redundant title and strengthen redundant encodings",accept,"Panel titles remain; the outer title is removed and color/shape/line encodings are redundant","figure generator; main caption","oracle test and rendered inspection",no
ED26,figure_table_and_production_review.md,"Figure 2",critical,"Plot the standardized tilt actually described by the caption",accept,"Panel (a) now plots standardized_delta and is titled Window-to-tilt map","figure generator","CSV/oracle preservation and rendered-axis inspection",no
ED27,figure_table_and_production_review.md,"Figure S1",important,"Split or enlarge and make coincidence explicit",accept_with_modification,"Kept the efficient 2-by-4 layout, enlarged it, added direct labels, and used nested unjittered glyphs for exact Normal coincidence","figure generator; supplement caption","oracle test, coincidence assertion, rendered inspection",no
ED28,figure_table_and_production_review.md,"Figure S2",important,"Improve annotations, grayscale semantics, and endpoint convention",accept,"Panel labels, larger type, line redundancy, and filled/open endpoint markers now expose the strict indicator convention","figure generator; supplement caption and test","oracle test and rendered inspection",no
ED29,figure_table_and_production_review.md,"Figure S3",important,"Reduce to prior, quartic obstruction, and conditional FFBS",accept,"The schematic is now natural-size and contains only the central logical chain","figures/rqr_dlm_blocked_state_schematic.tex; supplement caption","rendered inspection",no
ED30,figure_table_and_production_review.md,"captions",important,"Define abbreviations and scope without repeating equations",accept_with_modification,"Captions were shortened while retaining deterministic-population and loss-kernel qualifications","both TeX sources","caption and page-flow review",no
ED31,figure_table_and_production_review.md,"vector graphics",important,"Prefer vector publication graphics",defer_until_results,"The current base-R PDFs have unembedded fonts; audited 300-dpi PNGs are safer until an embedded-font device and provenance policy are implemented","figures/README.md","pdffonts and effective-resolution checks",no
ED32,claim_citation_and_evidence_ledger.csv,"Fissler et al. and Chen et al.",important,"Add functional-evaluation and constrained-interval literature",accept_with_modification,"Both primary sources were verified and cited only for their narrow adjacent roles","main.tex Introduction; refs.bib","BibTeX build and metadata verification",no
ED33,claim_citation_and_evidence_ledger.csv,"Koenker and Bassett",important,"Cite primary quantile regression at first two-quantile construction",accept,"The existing verified bibliography entry is reused","main.tex Introduction","citation build",no
ED34,prioritized_codex_editorial_handoff.md,"supplement production",important,"Use S page numbers, stable date, metadata, and clean floats",accept,"Supplement pages are S-prefixed, the displayed date is removed, and PDF metadata is set","supplement preamble","PDF metadata and page render",no
ED35,section_revision_map.csv,"Simulation and Results sections",critical,"Add final empirical sections",defer_until_results,"No result placeholders or invented findings belong in the circulated pre-results article","future main.tex revision","main-study result freeze",yes
