"Claim ID","Current manuscript claim","Claim type","Required evidence","Available evidence","Failure criterion","Correct verb strength","Main location","Supplement location","Revision action"
"C01","Content c defines a class of contiguous intervals, not a unique interval placement.","definition","Population quantile-window representation and literature on interval functionals.","Main and supplement fixed-content definitions; Brehmer--Gneiting and Fissler et al. citations.","A sentence treats fixed content as sufficient to define lower and upper endpoints.","defines / distinguishes","main.tex:Fixed-Content Interval Functionals","rqr-gibbs-supplement.tex:Fixed-Content Interval Functionals","Retain and make first-order motivation."
"C02","The residual-product loss targets the mean-preserving interval under regular interior conditions.","population proposition or theorem","Score equations, quantile-window identification, and regularity assumptions.","Main Proposition 2 plus supplement score derivation and proof material.","The prose calls MPI universal outside stated assumptions or for restricted regression classes.","identifies / characterizes under assumptions","main.tex:Mean-Preserving Interval Loss and Population Target","rqr-gibbs-supplement.tex:MPI Loss: Scores and Consequences","Retain with explicit condition and scope."
"C03","MTI fixes probability content and changes interval placement through retained-mean tilt.","definition plus population theorem","Profiled-risk theorem and admissible tilt range.","Main MTI section and supplement profiled-risk proof.","The tilt is described as an ordinary response parameter or sampled target-selection parameter.","defines / indexes","main.tex:Mean-Tilted Interval Family","rqr-gibbs-supplement.tex:The Mean-Tilted Interval Loss","Retain; emphasize fixed or externally selected tilt."
"C04","Equal-tailed and shortest-contiguous intervals are distribution-specific members of the MTI family.","population proposition","Recovery tilt corollary and population-window calculations.","Main recovery corollary; supplement recovery tilts and CF diagnostics.","A universal tilt is asserted for equal-tailed or shortest intervals across distributions.","recovers / corresponds when the recovery tilt is used","main.tex:Mean-Tilted Interval Family","rqr-gibbs-supplement.tex:The Mean-Tilted Interval Loss","Retain with distribution-specific wording."
"C05","The finite-sample fitted MTI score has exact fractional content and retained-mean balance.","finite-sample theorem","Subgradient allocation proof and endpoint boundary convention.","Main finite-sample balance statement; supplement fractional empirical balance proof.","The result is presented as future coverage or tolerance validity.","has / satisfies score identity","main.tex:Finite-Sample Balance and Static Uncertainty Scope","rqr-gibbs-supplement.tex:Static Finite-Sample Balance and Uncertainty Geometry","Retain; explicitly call it training-sample score identity."
"C06","Static iid generalized-posterior covariance need not equal sandwich covariance for any scalar rate.","asymptotic theorem","Fixed-dimensional iid random-design regularity, Hessian and score covariance definitions.","Main uncertainty-scope paragraph; supplement fixed-dimensional iid uncertainty geometry.","The result is applied to DESN, dynamic, selected reservoirs, or crossing roots.","establishes within static iid scope","main.tex:Finite-Sample Balance and Static Uncertainty Scope","rqr-gibbs-supplement.tex:Fixed-dimensional iid uncertainty geometry","Retain and narrow."
"C07","The pseudo-AL representation is an algebraic augmentation of the exponential loss, not a response likelihood.","computational identity","Factorization of loss exponential and conditional density derivation.","Main generalized-posterior section; supplement pseudo-AL derivation.","A sentence describes the pseudo-AL as the data-generating model for Y.","yields / represents computationally","main.tex:Static Interval-Root Regression and Generalized Posteriors","rqr-gibbs-supplement.tex:Pseudo-AL Augmentation","Retain; centralize caveat in inferential map."
"C08","Fixed-rate static Gibbs updates are conditionally Gaussian for each root block with GIG latent scales.","exact algorithmic result","Full conditionals and implementation validation fixtures.","Main Algorithm 1; supplement full conditionals; test scripts and validation reports.","Unsupported priors or learned-rate nonzero tilt are implied to share the result.","updates exactly under stated target","main.tex:Static Interval-Root Regression and Generalized Posteriors","rqr-gibbs-supplement.tex:Static Root Regression and Fixed-Target ECM","Retain; list supported configurations."
"C09","The static ECM algorithm computes a fixed-target generalized-posterior mode, not posterior draws.","computational identity plus exact algorithmic result","Exact inverse latent-scale moment and monotone CM objective.","Main ECM paragraphs; supplement ECM derivation and monotonicity ledger.","ECM is called a sampler, likelihood EM, VB, or a tolerance certificate.","optimizes / computes a mode","main.tex:Static Interval-Root Regression and Generalized Posteriors","rqr-gibbs-supplement.tex:Fixed-target ECM mode computation","Retain and clarify."
"C10","The frozen DESN readout is a static feature specialization of the same root-regression update.","software capability plus bounded validation fixture","Frozen feature design contract and static conditional update identity.","Main DESN subsection; supplement DESN specialization; validation scope docs.","DESN evidence is generalized beyond the frozen readout protocol.","uses / specializes","main.tex:Frozen-feature DESN readout","rqr-gibbs-supplement.tex:Frozen-feature DESN specialization","Retain with scope boundary."
