location_root,relative_path,bytes_before,classification,deletion_status,preserved_evidence
PRIMARY,application/outputs/oracle_tilt_c095_publication_v3,7913078784,superseded_version3_attempts,removed,Canonical version3 compact evidence retained under PROCESS
PROMOTION,application/outputs/oracle_tilt_c095_publication_v3,5847818240,superseded_version3_attempts,removed,Canonical version3 compact evidence retained under PROCESS
PROCESS,application/outputs/oracle_tilt_c095_publication_v3/exact_99a088fbdd7c/execute/worker_results,4646109184,nonpromoted_version3_raw_chains,removed,Execute summaries manifests and closeouts retained
PROCESS,application/outputs/oracle_tilt_c095_publication_v3/exact_fd6aba4ae59d,2201260032,superseded_version3_attempt,removed,Later exact 99a088f compact evidence retained
PRIMARY,application/runs/rqr_dlm_main_20260727_ce02915/waves/0001__static_gaussian_T200__target0200__sentinel/workers,1927213056,terminal_confirmatory_raw_workers,removed,Tracked terminal-run audit and nonworker run metadata retained
PRIMARY,application/runs/rqr_dlm_main_20260726_bb96629/waves/0001__static_gaussian_T200__target0200__sentinel/workers,1926348800,terminal_confirmatory_raw_workers,removed,Tracked terminal-run audit and nonworker run metadata retained
PROCESS,application/outputs/oracle_tilt_c095_publication_v3/exact_99a088fbdd7c/resource-rehearsal/resource_cells,1843589120,nonpromoted_version3_raw_rehearsal,removed,Resource summary wrapper closeout and manifests retained
PROMOTION,application/outputs/oracle_tilt_c095_publication/run_90707fc/worker_results,1626677248,superseded_version1_raw_chains,removed,Tracked compact version1 evidence retained
PROCESS,application/outputs/oracle_tilt_dlm_sh_adjudication/exact_a3b39b394c6a/execute/worker_results,1217949696,nonpromoted_adjudication_raw_chains,removed,Decision diagnostics prefix checks summaries and closeouts retained
PROCESS,application/outputs/oracle_tilt_c095_publication_v3/exact_99a088fbdd7c/acceptance/worker_results,939675648,nonpromoted_version3_raw_acceptance,removed,Acceptance status wrapper closeout and manifests retained
PROMOTION,application/outputs/oracle_tilt_c095_publication_v2/benchmark_exact_764a35f_20260731/worker_results,470228992,superseded_version2_benchmark_raw,removed,Tracked version2 evidence and compact benchmark closeout retained
PROCESS,application/outputs/oracle_tilt_c095_publication_v3/exact_99a088fbdd7c/benchmark/worker_results,356716544,nonpromoted_version3_raw_benchmark,removed,Benchmark closeout summaries and manifests retained
PRIMARY,application/outputs/rqr_dlm_output13_bounded_24fit_uVxx4P/full_chains_ignored,272134144,validated_bounded_raw_chains,removed,Compact bounded-validation summaries and diagnostics retained
PRIMARY,application/runs/rqr_dlm_main_20260726_bb96629/waves/0002__local_level_gaussian_T200__target0200__sentinel/workers,626688,terminal_confirmatory_raw_workers,removed,Tracked terminal-run audit and nonworker run metadata retained
PRIMARY,application/runs/rqr_dlm_main_20260727_ce02915/waves/0002__local_level_gaussian_T200__target0200__sentinel/workers,204800,terminal_confirmatory_raw_workers,removed,Tracked terminal-run audit and nonworker run metadata retained
