"finding_id","source_deliverable","source_location","severity","pro_recommendation","codex_disposition","codex_reason","implementation_location","validation_check","results_or_software_dependency"
"A01","independent_model_family_architecture_audit.md","Sections 1, 3, and 5","high","Organize the article by interval target, predictor architecture, and conditional computation; use fixed design then DLM then frozen DESN.","accept","This separates the estimand from its function class and the sampler while keeping the DLM as the principal structured contribution.","main.tex; rqr-gibbs-supplement.tex","Section-order and terminology audit","PASS: final build and prose audit"
"A02","recommended_article_structure.md","Sections 2--3","high","Begin ordinary-RQR population theory with generic ordered endpoints rather than fixed-design coefficients.","accept","The unrestricted interval functional is not intrinsically linear; fixed-design notation belongs with restricted computation.","main.tex Section 3","Check that beta and X first enter the computation section","PASS: final source and rendered output verified"
"A03","recommended_article_structure.md","Sections 4--5","high","Present ordinary RQR as delta=0 and MT-RQR as the fixed-tilt umbrella family.","accept","The loss and score equations show exact nesting at delta=0.","main.tex Sections 3--5; supplement Sections S3--S6","Search naming and zero-tilt statements","PASS: final source and rendered output verified"
"A04","model_family_and_status_matrix.csv","All six rows","high","Add a model-family/status matrix crossing two targets with three predictor architectures.","accept_with_modification","A compact two-panel table is clearer than one very wide twelve-column matrix; implementation and evidence status will be kept explicit.","main.tex computation section","Final-size table inspection; status-ledger consistency","PASS: final source and rendered output verified"
"A05","pseudocode_packet.md","Sections 1 and 4","high","Replace the ordinary fixed-design scan with one master fixed-rate MT-RQR scan.","accept_with_modification","The existing custom algorithm block is Overleaf-safe and visually consistent, so it will be retained and extended rather than adding algorithmicx dependencies.","main.tex Algorithm 1","Algorithm contract completeness and PDF inspection","PASS: final source and rendered output verified"
"A06","pseudocode_packet.md","Section 5","high","Keep the normalized learned-kappa scan as a separate ordinary-only partially collapsed algorithm in the supplement.","accept","It declares a distinct normalized target and requires the kappa-to-v refresh order.","rqr-gibbs-supplement.tex Algorithm S1; concise main-text pointer","Formula, n_obs, and update-order audit","PASS: final source and rendered output verified"
"A07","pseudocode_packet.md","Section 6","high","Present a root-blocked fixed-rate MT-RQR-DLM algorithm with a canonical tilt contribution.","accept_with_modification","The main algorithm will cover fixed W and frozen templates; shared random component scales will be described as ordinary-only until nonzero-tilt propriety and ASIS validation exist.","main.tex Algorithm 2; supplement dynamic section","Sign/dimension audit; missing-time audit; final PDF","PASS: final source and rendered output verified"
"A08","pseudocode_packet.md","Section 7","medium","Present MT-RQR-DESN as an unnumbered frozen-feature adapter rather than a duplicate sampler.","accept","Replacing X by a recorded deterministic feature matrix does not create a new Gibbs kernel.","main.tex structured extensions; supplement DESN contract","No duplicate algorithm; frozen-design wording audit","PASS: final source and rendered output verified"
"A09","independent_model_family_architecture_audit.md","Section 8","medium","Remove the current computational Figure 3 without replacement.","accept","The proposed model-family table and algorithms communicate the same content more precisely and the user explicitly dislikes the schematic.","main.tex; active dependency removal","No Figure 3 reference/input; PDF float audit","PASS: final source and rendered output verified"
"M01","derivation_and_algorithm_design.md","Sections 2.1--2.2","critical","Use the pseudo-AL augmentation and GIG(1/2,a,b) conditional with the stated constants.","accept","Direct kernel expansion confirms a=omega_R/[2c(1-c)] and b=omega_R c(1-c)e_i^2/2 under the stated GIG convention.","main.tex; rqr-gibbs-supplement.tex","Independent algebra audit; symbol/factor-of-two search","PASS: independent audit reconciled"
"M02","derivation_and_algorithm_design.md","Section 2.2","critical","Add +omega_R c X^T delta to each root information vector without changing precision.","accept","The sign follows from exponentiating -ell and the tilt is linear in each root; dimensions are p by 1.","main.tex; rqr-gibbs-supplement.tex","Sign and dimension derivation audit","PASS: independent audit reconciled"
"M03","derivation_and_algorithm_design.md","Sections 4--5","high","State exact zero-tilt reduction and separate fixed-rate sigma_R=1/omega_R from ordinary learned sigma_R=s_L/kappa.","accept","The current combined identity obscures two target conventions and can invite invalid nonzero-tilt scale learning.","main.tex computation section; supplement scale sections","Notation search and equation audit","PASS: final source and rendered output verified"
"M04","derivation_and_algorithm_design.md","Section 5.1","critical","Prohibit copying the ordinary Gamma learned-kappa update to nonzero tilt.","accept","The tilted loss may be negative; a formal Gamma rate may fail and the random-rate joint normalizer is not established.","main.tex; supplement Algorithm S1 warning; status table","Search for nonzero tilt plus learned-rate claims","PASS: final source and rendered output verified"
