"family","target","chain","profile","resumed","path","bytes","sha256","contract_digest"
"fixed_design","RQR",1,"seed_only",FALSE,"worker_results/fixed_design_rqr_chain01.rds",233922374,"5d645bde478d8a1d4bde57afa2a7d192f801ef48f8724f6a99d7a4cc71405170","79ac94d56501e171e7bc4346f7996eb6f4e5399ae3adbe060039d6a93f686128"
"fixed_design","RQR",2,"seed_only",FALSE,"worker_results/fixed_design_rqr_chain02.rds",233922374,"7be183dbeff479ad7bd088d8f3b12d67f78c902819f8965d914105e3726753a9","7bd58a78b8571916ed2ce87836acf423b8fd594548ca9dabc1eb461574f502c0"
"fixed_design","RQR",3,"seed_only",FALSE,"worker_results/fixed_design_rqr_chain03.rds",233922374,"41a48603011014c873e6d89d2f4b325704b2b346aef7adb1a2994ad566f65834","9e465fecf6fb5ee9b3c4bdf41571505ab1e310185511fadc0df71844964e3cd3"
"fixed_design","RQR",4,"seed_only",FALSE,"worker_results/fixed_design_rqr_chain04.rds",233922374,"45accb19c1eab9992dfeaa8bd772af986b7a5c6e189d4774caddf359c330817e","6ecb5f8f200ddcd2e1bd11f0f56733422c810f46154a587cd8761d7533f87620"
"fixed_design","ET",1,"seed_only",FALSE,"worker_results/fixed_design_et_chain01.rds",233922372,"ff6780ead7ef662c926fdc1b2674363dd8d9d3b44fe2512709349bb3c1665cd1","fe253bac4b1e162f64912131aa7fb816e47bc22a679f8d2e3592c3dd8d229e6b"
"fixed_design","ET",2,"seed_only",FALSE,"worker_results/fixed_design_et_chain02.rds",233922372,"b098e76b78316a2d27955c37a4599da17d2f3761804a681f6aee1112ce82ddbf","34190962698fec98f89247a475c4211f0c80188197ac08353772f20d645bb3fb"
"fixed_design","ET",3,"seed_only",FALSE,"worker_results/fixed_design_et_chain03.rds",233922372,"ceafbd35a7ddf8fac3f9c67c5c232cb8c6efaec8b32317ff088516f2664b4d6d","b9315b0610c3f0c4075420aacfb8b27fdbca6d6015e1e820ce8551ed7406d577"
"fixed_design","ET",4,"seed_only",FALSE,"worker_results/fixed_design_et_chain04.rds",233922372,"74c9749d7d8d1f80f2be69712b70b06bd6809b1cafdb1a61f50747170860ef3e","31314708f4d41d7c8d626f4311de8549b72b249e1efb417749afe2073a7bc267"
"fixed_design","SH",1,"seed_only",FALSE,"worker_results/fixed_design_sh_chain01.rds",233922372,"770440b4345bb549441dbf4f39539815f561da1abd8e56c742943ec0f97731d7","f12d23ed52a82e6078610c8f3e6ec02cce2dedfd62209ecb38178d4969e686cc"
"fixed_design","SH",2,"seed_only",FALSE,"worker_results/fixed_design_sh_chain02.rds",233922372,"5b718fbe94ebf2fba8ae7d8df196559277d995c25120e40868dce2c086c30127","b7cb2140196ad5bd2d99297a84cc7a9e8a12033797efc25433f5cf16b4e14873"
"fixed_design","SH",3,"seed_only",FALSE,"worker_results/fixed_design_sh_chain03.rds",233922372,"8019fe9333fc5f012387a7824f517cbbbb30eede1603847323584a638b5b2bb2","5a959cc274a38482076ce5e4409da650e8dccbb8e30f3444b674d6215f5407c1"
"fixed_design","SH",4,"seed_only",FALSE,"worker_results/fixed_design_sh_chain04.rds",233922372,"0932acc9dd03407dcfb908cb85a8fc39d175d9c9367293024f3a989f347f7a52","95ba63708dc62c4b96218ce0dee72ad3c2bf48b283a37053545b5918d3c40d1a"
"dlm","RQR",1,"default",FALSE,"worker_results/dlm_rqr_chain01.rds",236298989,"b27ff38fe9c9bec88b4ee92665c2f91c65373f68c863d4235b9758421b59680e","5f8a291115f4930a462b799b1fa5d46598d91e79e1d28ab67fa9f554193e83aa"
"dlm","RQR",2,"oracle_centered",FALSE,"worker_results/dlm_rqr_chain02.rds",236299005,"2e1e562da187608e7458955566d25a847041174d501e88909a0e81bcb23f5513","7d9ff7aec9b1a0ce7331482858af04ca7f21b74e9cfcb148de5e424bfe04c6f0"
"dlm","RQR",3,"narrow",FALSE,"worker_results/dlm_rqr_chain03.rds",236298987,"3abdf65d809a60d061a5e19ca7bc255a963f8634f62c7138d4a46de82b7a0207","287f6fd752f2d92606b8bda2203c44a4cfef0db487521e5bbf6ae90b4411f963"
"dlm","RQR",4,"wide",FALSE,"worker_results/dlm_rqr_chain04.rds",236298983,"407a94cc4b11a8ba65c2e5eaa47ed031adc71827bb1b3e413c1cb0d61498c58a","cb540d792c315ae201754e831aa73e776f3f5ff095042b04c2642ac21635276a"
"dlm","RQR",5,"slope_stress",FALSE,"worker_results/dlm_rqr_chain05.rds",236298999,"ebeb95c580fcd751dcaae1b54f4e28fef4183e8305305c4bf372f7d48eb240d9","e4d9d8826c4acfc5e62245f0045f23698a435382faca8a92544bbdf2938fb685"
"dlm","ET",1,"default",FALSE,"worker_results/dlm_et_chain01.rds",236298987,"5ddfc9ed048cbe3b6ee5b5955a67957608f42f00ff360d94bc7590c45b020575","b052640fad1408f75bd5390e343802d0e0f2d4a7deb11505573846013218d1b5"
"dlm","ET",2,"oracle_centered",FALSE,"worker_results/dlm_et_chain02.rds",236299003,"7c50f6a405ff89e5c2bc6379ef9123f58cd5ba3189b6adceb8e2e99bac514f4a","831d5a65339a4f0edf6584183a5e3748c1be3e1ffca1a2808c7dc4f357cb5f22"
"dlm","ET",3,"narrow",FALSE,"worker_results/dlm_et_chain03.rds",236298985,"4cf227713e2e802bd76f957175dbdcf1327594202f15caef7a4a9201ec5917b9","b1e2fe677af4ea0cef2ae1d74fa1b094dddcd1147a4c89de37d86dcdd7b181b0"
