"dgp_id","coverage_level","replication","stream","seed"
"static_gaussian_negative_control",0.8,1,"data",211990329
"local_level_gaussian",0.8,1,"data",160008419
"local_level_skewed",0.8,1,"data",22064608
"trend_seasonal_gaussian",0.8,1,"data",264093011
"trend_seasonal_skewed",0.8,1,"data",123315371
"trend_regression_unequal_evolution",0.8,1,"data",263822585
"structural_break_heavy_tail_stress",0.8,1,"data",56358079
"static_gaussian_negative_control",0.9,1,"data",132406925
"local_level_gaussian",0.9,1,"data",255206209
"local_level_skewed",0.9,1,"data",70720505
"trend_seasonal_gaussian",0.9,1,"data",143793214
"trend_seasonal_skewed",0.9,1,"data",142781710
"trend_regression_unequal_evolution",0.9,1,"data",168451311
"structural_break_heavy_tail_stress",0.9,1,"data",86659740
"static_gaussian_negative_control",0.8,2,"data",63598491
"local_level_gaussian",0.8,2,"data",81543801
"local_level_skewed",0.8,2,"data",200648196
"trend_seasonal_gaussian",0.8,2,"data",62515716
"trend_seasonal_skewed",0.8,2,"data",130947457
"trend_regression_unequal_evolution",0.8,2,"data",49106601
"structural_break_heavy_tail_stress",0.8,2,"data",224047042
"static_gaussian_negative_control",0.9,2,"data",198141846
"local_level_gaussian",0.9,2,"data",44305744
"local_level_skewed",0.9,2,"data",5320798
"trend_seasonal_gaussian",0.9,2,"data",93821930
"trend_seasonal_skewed",0.9,2,"data",134780629
"trend_regression_unequal_evolution",0.9,2,"data",129922837
"structural_break_heavy_tail_stress",0.9,2,"data",142108012
"static_gaussian_negative_control",0.8,1,"method",167586645
"local_level_gaussian",0.8,1,"method",258721921
"local_level_skewed",0.8,1,"method",90199356
"trend_seasonal_gaussian",0.8,1,"method",129362971
"trend_seasonal_skewed",0.8,1,"method",145361551
"trend_regression_unequal_evolution",0.8,1,"method",67969400
"structural_break_heavy_tail_stress",0.8,1,"method",174088551
"static_gaussian_negative_control",0.9,1,"method",262605554
"local_level_gaussian",0.9,1,"method",266392237
"local_level_skewed",0.9,1,"method",75497031
"trend_seasonal_gaussian",0.9,1,"method",48344998
"trend_seasonal_skewed",0.9,1,"method",144951538
"trend_regression_unequal_evolution",0.9,1,"method",131168877
"structural_break_heavy_tail_stress",0.9,1,"method",96493164
"static_gaussian_negative_control",0.8,2,"method",89397434
"local_level_gaussian",0.8,2,"method",111982098
"local_level_skewed",0.8,2,"method",19477954
"trend_seasonal_gaussian",0.8,2,"method",127612931
"trend_seasonal_skewed",0.8,2,"method",13398175
"trend_regression_unequal_evolution",0.8,2,"method",213241546
"structural_break_heavy_tail_stress",0.8,2,"method",25117702
"static_gaussian_negative_control",0.9,2,"method",74055540
"local_level_gaussian",0.9,2,"method",161700565
"local_level_skewed",0.9,2,"method",202995338
"trend_seasonal_gaussian",0.9,2,"method",104524984
"trend_seasonal_skewed",0.9,2,"method",215502538
"trend_regression_unequal_evolution",0.9,2,"method",50743687
"structural_break_heavy_tail_stress",0.9,2,"method",245353287
"static_gaussian_negative_control",0.8,1,"initialization",193202776
"local_level_gaussian",0.8,1,"initialization",98837387
"local_level_skewed",0.8,1,"initialization",200364344
"trend_seasonal_gaussian",0.8,1,"initialization",207479884
"trend_seasonal_skewed",0.8,1,"initialization",155527669
"trend_regression_unequal_evolution",0.8,1,"initialization",237860361
"structural_break_heavy_tail_stress",0.8,1,"initialization",186274235
"static_gaussian_negative_control",0.9,1,"initialization",199019034
"local_level_gaussian",0.9,1,"initialization",200544086
"local_level_skewed",0.9,1,"initialization",34658282
"trend_seasonal_gaussian",0.9,1,"initialization",206007233
"trend_seasonal_skewed",0.9,1,"initialization",83389344
"trend_regression_unequal_evolution",0.9,1,"initialization",219500726
"structural_break_heavy_tail_stress",0.9,1,"initialization",200157639
"static_gaussian_negative_control",0.8,2,"initialization",183243938
"local_level_gaussian",0.8,2,"initialization",204000153
"local_level_skewed",0.8,2,"initialization",164813818
"trend_seasonal_gaussian",0.8,2,"initialization",92576965
"trend_seasonal_skewed",0.8,2,"initialization",43282711
"trend_regression_unequal_evolution",0.8,2,"initialization",204234068
"structural_break_heavy_tail_stress",0.8,2,"initialization",203845330
"static_gaussian_negative_control",0.9,2,"initialization",188191515
"local_level_gaussian",0.9,2,"initialization",136538540
"local_level_skewed",0.9,2,"initialization",222586643
"trend_seasonal_gaussian",0.9,2,"initialization",101228444
"trend_seasonal_skewed",0.9,2,"initialization",190311984
"trend_regression_unequal_evolution",0.9,2,"initialization",102628250
"structural_break_heavy_tail_stress",0.9,2,"initialization",225182786
"static_gaussian_negative_control",0.8,1,"forecast",148874775
"local_level_gaussian",0.8,1,"forecast",132032084
"local_level_skewed",0.8,1,"forecast",62248403
"trend_seasonal_gaussian",0.8,1,"forecast",145972866
"trend_seasonal_skewed",0.8,1,"forecast",46116754
"trend_regression_unequal_evolution",0.8,1,"forecast",219439924
"structural_break_heavy_tail_stress",0.8,1,"forecast",8222283
"static_gaussian_negative_control",0.9,1,"forecast",144178667
"local_level_gaussian",0.9,1,"forecast",186328210
"local_level_skewed",0.9,1,"forecast",48183198
"trend_seasonal_gaussian",0.9,1,"forecast",203032246
"trend_seasonal_skewed",0.9,1,"forecast",259734221
"trend_regression_unequal_evolution",0.9,1,"forecast",204127342
"structural_break_heavy_tail_stress",0.9,1,"forecast",170341115
"static_gaussian_negative_control",0.8,2,"forecast",253526840
"local_level_gaussian",0.8,2,"forecast",212377239
"local_level_skewed",0.8,2,"forecast",5962037
"trend_seasonal_gaussian",0.8,2,"forecast",52104456
"trend_seasonal_skewed",0.8,2,"forecast",199041017
"trend_regression_unequal_evolution",0.8,2,"forecast",264879896
"structural_break_heavy_tail_stress",0.8,2,"forecast",33161641
"static_gaussian_negative_control",0.9,2,"forecast",123309886
"local_level_gaussian",0.9,2,"forecast",47684566
"local_level_skewed",0.9,2,"forecast",60254472
"trend_seasonal_gaussian",0.9,2,"forecast",139377967
"trend_seasonal_skewed",0.9,2,"forecast",93186366
"trend_regression_unequal_evolution",0.9,2,"forecast",188798939
"structural_break_heavy_tail_stress",0.9,2,"forecast",152605700
"static_gaussian_negative_control",0.8,1,"sentinel",59237742
"local_level_gaussian",0.8,1,"sentinel",57862889
"local_level_skewed",0.8,1,"sentinel",28943240
"trend_seasonal_gaussian",0.8,1,"sentinel",134856230
"trend_seasonal_skewed",0.8,1,"sentinel",138179079
"trend_regression_unequal_evolution",0.8,1,"sentinel",105594635
"structural_break_heavy_tail_stress",0.8,1,"sentinel",143013550
"static_gaussian_negative_control",0.9,1,"sentinel",165686280
"local_level_gaussian",0.9,1,"sentinel",120908840
"local_level_skewed",0.9,1,"sentinel",181989504
"trend_seasonal_gaussian",0.9,1,"sentinel",225867339
"trend_seasonal_skewed",0.9,1,"sentinel",254768169
"trend_regression_unequal_evolution",0.9,1,"sentinel",35006282
"structural_break_heavy_tail_stress",0.9,1,"sentinel",63349443
"static_gaussian_negative_control",0.8,2,"sentinel",83068596
"local_level_gaussian",0.8,2,"sentinel",5306723
"local_level_skewed",0.8,2,"sentinel",86836919
"trend_seasonal_gaussian",0.8,2,"sentinel",79442770
"trend_seasonal_skewed",0.8,2,"sentinel",245758449
"trend_regression_unequal_evolution",0.8,2,"sentinel",267903071
"structural_break_heavy_tail_stress",0.8,2,"sentinel",44631699
"static_gaussian_negative_control",0.9,2,"sentinel",135221965
"local_level_gaussian",0.9,2,"sentinel",142102430
"local_level_skewed",0.9,2,"sentinel",229553961
"trend_seasonal_gaussian",0.9,2,"sentinel",86128700
"trend_seasonal_skewed",0.9,2,"sentinel",128737807
"trend_regression_unequal_evolution",0.9,2,"sentinel",169780098
"structural_break_heavy_tail_stress",0.9,2,"sentinel",170973340
"static_gaussian_negative_control",0.8,1,"oracle",22436977
"local_level_gaussian",0.8,1,"oracle",175203593
"local_level_skewed",0.8,1,"oracle",10076628
"trend_seasonal_gaussian",0.8,1,"oracle",86168270
"trend_seasonal_skewed",0.8,1,"oracle",24324429
"trend_regression_unequal_evolution",0.8,1,"oracle",158562208
"structural_break_heavy_tail_stress",0.8,1,"oracle",207393785
"static_gaussian_negative_control",0.9,1,"oracle",129575752
"local_level_gaussian",0.9,1,"oracle",32380880
"local_level_skewed",0.9,1,"oracle",24443834
"trend_seasonal_gaussian",0.9,1,"oracle",143507620
"trend_seasonal_skewed",0.9,1,"oracle",203697994
"trend_regression_unequal_evolution",0.9,1,"oracle",160768879
"structural_break_heavy_tail_stress",0.9,1,"oracle",131462943
"static_gaussian_negative_control",0.8,2,"oracle",99840938
"local_level_gaussian",0.8,2,"oracle",152299099
"local_level_skewed",0.8,2,"oracle",178710291
"trend_seasonal_gaussian",0.8,2,"oracle",138508772
"trend_seasonal_skewed",0.8,2,"oracle",254265832
"trend_regression_unequal_evolution",0.8,2,"oracle",34168346
"structural_break_heavy_tail_stress",0.8,2,"oracle",151972964
"static_gaussian_negative_control",0.9,2,"oracle",60896024
"local_level_gaussian",0.9,2,"oracle",96019567
"local_level_skewed",0.9,2,"oracle",31457195
"trend_seasonal_gaussian",0.9,2,"oracle",33202540
"trend_seasonal_skewed",0.9,2,"oracle",195055235
"trend_regression_unequal_evolution",0.9,2,"oracle",55534806
"structural_break_heavy_tail_stress",0.9,2,"oracle",164178586
"static_gaussian_negative_control",0.8,1,"tuning",156151363
"local_level_gaussian",0.8,1,"tuning",87851596
"local_level_skewed",0.8,1,"tuning",252836764
"trend_seasonal_gaussian",0.8,1,"tuning",37732257
"trend_seasonal_skewed",0.8,1,"tuning",147557835
"trend_regression_unequal_evolution",0.8,1,"tuning",96549364
"structural_break_heavy_tail_stress",0.8,1,"tuning",242634139
"static_gaussian_negative_control",0.9,1,"tuning",128154902
"local_level_gaussian",0.9,1,"tuning",247366486
"local_level_skewed",0.9,1,"tuning",196207160
"trend_seasonal_gaussian",0.9,1,"tuning",59391829
"trend_seasonal_skewed",0.9,1,"tuning",7139455
"trend_regression_unequal_evolution",0.9,1,"tuning",59427980
"structural_break_heavy_tail_stress",0.9,1,"tuning",171126487
"static_gaussian_negative_control",0.8,2,"tuning",80720753
"local_level_gaussian",0.8,2,"tuning",112174141
"local_level_skewed",0.8,2,"tuning",80545424
"trend_seasonal_gaussian",0.8,2,"tuning",208108469
"trend_seasonal_skewed",0.8,2,"tuning",87030191
"trend_regression_unequal_evolution",0.8,2,"tuning",24825512
"structural_break_heavy_tail_stress",0.8,2,"tuning",126253331
"static_gaussian_negative_control",0.9,2,"tuning",98970560
"local_level_gaussian",0.9,2,"tuning",106337956
"local_level_skewed",0.9,2,"tuning",267418847
"trend_seasonal_gaussian",0.9,2,"tuning",157535930
"trend_seasonal_skewed",0.9,2,"tuning",233141174
"trend_regression_unequal_evolution",0.9,2,"tuning",254608390
"structural_break_heavy_tail_stress",0.9,2,"tuning",39025813
