"family","target","index","x","y","mean_truth","oracle_lower","oracle_upper","fit_lower","fit_upper","fit_midpoint","fit_width","fit_lower_q025","fit_lower_q975","fit_upper_q025","fit_upper_q975","fit_midpoint_q025","fit_midpoint_q975","fit_width_q025","fit_width_q975","observed"
"fixed_design","RQR",1,-1,-0.790578881537112,-0.8,-2.75719227448259,-0.302075154578703,-4.72284472405302,-0.26680987367301,-2.49482729886301,4.45603485038001,-6.40039159225039,-3.20010774303451,-0.391329933895172,-0.0785479103406061,-3.34058809877653,-1.72003669566326,2.93995182845753,6.12337942122227,TRUE
"fixed_design","RQR",2,-0.996289424860853,-1.20312321819254,-0.794623796558596,-2.7528635194541,-0.296432472163369,-4.69912823430353,-0.261355882016731,-2.48024205816013,4.4377723522868,-6.36518455270073,-3.18714854891896,-0.384751106239248,-0.0743733616666555,-3.32011575417511,-1.71137640823919,2.93470927549748,6.09215574460624,TRUE
"fixed_design","RQR",3,-0.992578849721707,-0.830331192339553,-0.789255854137911,-2.74854302544633,-0.290798050768753,-4.67550115201609,-0.255909579824598,-2.46570536592034,4.41959157219149,-6.32996715637217,-3.17350090926272,-0.378410805893972,-0.0702359726392515,-3.29916139927027,-1.70175308385975,2.92731563726659,6.06175509236061,TRUE
"fixed_design","RQR",4,-0.98886827458256,-0.456323128843399,-0.783896172737943,-2.74423079245928,-0.285171890394855,-4.65196347719069,-0.250470967096608,-2.45121722214365,4.40149251009408,-6.29494366787781,-3.16361771176985,-0.371971596648348,-0.0663368583938628,-3.27927185036713,-1.69277812508236,2.92161563534505,6.03142680916711,TRUE
"fixed_design","RQR",5,-0.985157699443414,-0.914888633104687,-0.778544752358693,-2.73992682049295,-0.279553991041675,-4.62851520982732,-0.245040043832763,-2.43677762683004,4.38347516599456,-6.26004599901328,-3.15134716173153,-0.365444542895279,-0.0621023612115544,-3.25949521776545,-1.6841769409381,2.91510139253358,6.00228930657567,TRUE
"fixed_design","RQR",6,-0.981447124304267,-0.839137117689368,-0.773201593000162,-2.73563110954733,-0.273944352709213,-4.605156349926,-0.239616810033063,-2.42238657997953,4.36553953989294,-6.22652871981153,-3.13915444777698,-0.359051639600258,-0.0580382729418361,-3.24012063037787,-1.67507612817766,2.90853968090799,5.9735161052573,TRUE
"fixed_design","RQR",7,-0.977736549165121,-0.276138590675946,-0.767866694662348,-2.73134365962244,-0.268342975397469,-4.58188689748672,-0.234201265697507,-2.40804408159212,4.34768563178922,-6.19196975923126,-3.12756855386276,-0.352613351527147,-0.0538924748204682,-3.2197600580854,-1.66606463898647,2.90040615063999,5.94457740979965,TRUE
"fixed_design","RQR",8,-0.974025974025974,-1.0181913770786,-0.762540057345252,-2.72706447071826,-0.262749859106443,-4.55870685250949,-0.228793410826095,-2.39375013166779,4.32991344168339,-6.1566366009229,-3.11399362165795,-0.346151006696917,-0.0495885072487483,-3.19992112421789,-1.6569527776649,2.8943825214818,5.9158986740435,TRUE
"fixed_design","RQR",9,-0.970315398886827,-0.916955175390053,-0.757221681048874,-2.7227935428348,-0.257165003836134,-4.53561621499429,-0.223393245418828,-2.37950473020656,4.31222296957546,-6.12276635870527,-3.10087736747052,-0.339606810203429,-0.0455410381974381,-3.17977919199381,-1.64882165648081,2.88830472735171,5.88733808004191,TRUE
"fixed_design","RQR",10,-0.966604823747681,-0.722045313675734,-0.751911565773214,-2.71853087597206,-0.251588409586544,-4.51261498494113,-0.218000769475706,-2.36530787720842,4.29461421546543,-6.08764359068961,-3.08746499045137,-0.333203971564148,-0.0414982916635544,-3.16058820236003,-1.63981517510677,2.8806027955654,5.85975303072303,TRUE
"fixed_design","RQR",11,-0.962894248608534,-0.806094691526706,-0.746609711518272,-2.71427647013003,-0.246020076357672,-4.48970316235002,-0.212615982996728,-2.35115957267337,4.27708717935329,-6.05351280477248,-3.07637781813833,-0.327077215566,-0.0374130428323887,-3.14106266860773,-1.63101808999166,2.87251070398788,5.83174228686246,TRUE
"fixed_design","RQR",12,-0.959183673469388,-0.956909440092819,-0.741316118284048,-2.71003032530872,-0.240460004149517,-4.46688074722095,-0.207238885981894,-2.33705981660142,4.25964186123905,-6.01961056716722,-3.06553807997943,-0.320810633896338,-0.0330646236113253,-3.12141414126903,-1.6232412298859,2.86551004034021,5.80236514856452,TRUE
"fixed_design","RQR",13,-0.955473098330241,-0.234622171786904,-0.736030786070542,-2.70579244150813,-0.234908192962081,-4.44414773955391,-0.201869478431205,-2.32300860899256,4.24227826112271,-5.9855650319414,-3.0546040179427,-0.314627839387901,-0.0289543832170356,-3.10153550720667,-1.61441948082979,2.85786436138582,5.77427297662296,TRUE
"fixed_design","RQR",14,-0.951762523191095,-0.51725308059235,-0.730753714877754,-2.70156281872826,-0.229364642795363,-4.42150413934892,-0.19650776034466,-2.30900594984679,4.22499637900426,-5.9513714865312,-3.04331002716587,-0.3082948891426,-0.0245059777978508,-3.08173228815714,-1.6052719171461,2.85127241898088,5.74649304924092,TRUE
"fixed_design","RQR",15,-0.948051948051948,-0.377850392269855,-0.725484904705684,-2.69734145696911,-0.223829353649362,-4.39894994660597,-0.19115373172226,-2.29505183916412,4.20779621488371,-5.91858725417156,-3.03197802535584,-0.302071433571617,-0.0205224022521025,-3.06134048827452,-1.59693296773175,2.84481849153435,5.71875129783237,TRUE
"fixed_design","RQR",16,-0.944341372912802,-0.30930476652987,-0.720224355554332,-2.69312835623068,-0.218302325524079,-4.37648516132506,-0.185807392564004,-2.28114627694453,4.19067776876106,-5.88552634594081,-3.02093489507863,-0.296011091146406,-0.0163467447401819,-3.04194640052659,-1.58853661908867,2.83829516528577,5.69162847305702,TRUE
"fixed_design","RQR",17,-0.940630797773655,-0.476367957239766,-0.714972067423697,-2.68892351651296,-0.212783558419515,-4.35410978350619,-0.180468742869892,-2.26728926318804,4.1736410406363,-5.8519188663551,-3.00822928550053,-0.289795840187106,-0.0121860063981545,-3.02251606741408,-1.58043664998963,2.83292180661939,5.66416372474308,TRUE
"fixed_design","RQR",18,-0.936920222634508,-0.432651269961505,-0.709728040313781,-2.68472693781596,-0.207273052335668,-4.33182381314937,-0.175137782639926,-2.25348079789465,4.15668603050944,-5.81932873806177,-2.99509643451977,-0.283617097898917,-0.00825017360756005,-3.00330121576607,-1.57308310169036,2.82481230078291,5.63747783624228,TRUE
